TIME(sec.)  dFi2(rad)  dLm2(rad)
1.0000000000    0.0000003061    0.0000001091    
2.0000000000    -0.0000000635    0.0000129052    
3.0000000000    0.0000000326    0.0000254440    
4.0000000000    -0.0000002767    0.0000375314    
5.0000000000    -0.0000003393    0.0000505584    
6.0000000000    0.0000000128    0.0000628928    
7.0000000000    0.0000003143    0.0000756137    
8.0000000000    -0.0000003321    0.0000883519    
9.0000000000    -0.0000000629    0.0001009959    
10.0000000000    0.0000000092    0.0001135463    
11.0000000000    0.0000000359    0.0001260855    
12.0000000000    0.0000002128    0.0001387333    
13.0000000000    0.0000001429    0.0001513346    
14.0000000000    -0.0000000922    0.0001641281    
15.0000000000    0.0000001193    0.0001765851    
16.0000000000    0.0000001114    0.0001890888    
17.0000000000    -0.0000001389    0.0002017305    
18.0000000000    0.0000001845    0.0002142970    
19.0000000000    -0.0000001729    0.0002273574    
20.0000000000    0.0000000789    0.0002397303    
21.0000000000    0.0000001578    0.0002522662    
22.0000000000    -0.0000001260    0.0002650323    
23.0000000000    0.0000001095    0.0002774151    
24.0000000000    0.0000000383    0.0002902597    
25.0000000000    -0.0000000603    0.0003028864    
26.0000000000    0.0000001548    0.0003153054    
27.0000000000    0.0000001443    0.0003283241    
28.0000000000    -0.0000000092    0.0003406487    
29.0000000000    0.0000001981    0.0003537312    
30.0000000000    -0.0000002815    0.0003659967    
31.0000000000    -0.0000000954    0.0003785991    
32.0000000000    -0.0000000817    0.0003909975    
33.0000000000    -0.0000000819    0.0004037890    
34.0000000000    -0.0000001343    0.0004167035    
35.0000000000    0.0000002438    0.0004292517    
36.0000000000    0.0000001631    0.0004418197    
37.0000000000    0.0000001030    0.0004544324    
38.0000000000    0.0000001018    0.0004672001    
39.0000000000    -0.0000004712    0.0004800357    
40.0000000000    0.0000001452    0.0004922026    
41.0000000000    0.0000002170    0.0005047357    
42.0000000000    0.0000000020    0.0005172309    
43.0000000000    -0.0000001381    0.0005299066    
44.0000000000    0.0000000985    0.0005427153    
45.0000000000    -0.0000000225    0.0005552062    
46.0000000000    0.0000000609    0.0005676864    
47.0000000000    0.0000000169    0.0005808637    
48.0000000000    -0.0000000310    0.0005930739    
49.0000000000    0.0000000457    0.0006059384    
50.0000000000    0.0000002815    0.0006186432    
51.0000000000    0.0000001186    0.0006309746    
52.0000000000    -0.0000000230    0.0006435104    
53.0000000000    -0.0000000618    0.0006560954    
54.0000000000    0.0000000233    0.0006688256    
55.0000000000    0.0000001459    0.0006815655    
56.0000000000    0.0000001830    0.0006941170    
57.0000000000    -0.0000001145    0.0007067194    
58.0000000000    0.0000003570    0.0007195024    
59.0000000000    -0.0000001582    0.0007319877    
60.0000000000    -0.0000000520    0.0007446110    
61.0000000000    -0.0000001177    0.0007570799    
62.0000000000    0.0000000224    0.0007698100    
63.0000000000    0.0000000803    0.0007825193    
64.0000000000    0.0000000337    0.0007947630    
65.0000000000    -0.0000000306    0.0008075799    
66.0000000000    -0.0000001815    0.0008204108    
67.0000000000    0.0000000208    0.0008327360    
68.0000000000    -0.0000003135    0.0008456404    
69.0000000000    0.0000000830    0.0008584166    
70.0000000000    -0.0000002976    0.0008707300    
71.0000000000    0.0000001644    0.0008834589    
72.0000000000    0.0000003955    0.0008960131    
73.0000000000    0.0000000400    0.0009086350    
74.0000000000    0.0000003289    0.0009210011    
75.0000000000    -0.0000000209    0.0009338037    
76.0000000000    -0.0000000892    0.0009462932    
77.0000000000    0.0000001774    0.0009590758    
78.0000000000    -0.0000001132    0.0009714189    
79.0000000000    0.0000001158    0.0009843238    
80.0000000000    -0.0000000365    0.0009969178    
81.0000000000    -0.0000000196    0.0010094203    
82.0000000000    0.0000002678    0.0010224387    
83.0000000000    0.0000001953    0.0010347418    
84.0000000000    -0.0000000834    0.0010472701    
85.0000000000    -0.0000001443    0.0010600144    
86.0000000000    0.0000000342    0.0010725852    
87.0000000000    -0.0000003468    0.0010850885    
88.0000000000    0.0000001800    0.0010976094    
89.0000000000    0.0000001608    0.0011101631    
90.0000000000    0.0000001768    0.0011227390    
91.0000000000    -0.0000002257    0.0011357595    
92.0000000000    0.0000000754    0.0011480469    
93.0000000000    -0.0000002260    0.0011609480    
94.0000000000    0.0000000120    0.0011734518    
95.0000000000    -0.0000000690    0.0011860438    
96.0000000000    0.0000002364    0.0011982517    
97.0000000000    -0.0000001755    0.0012108148    
98.0000000000    -0.0000001405    0.0012238988    
99.0000000000    -0.0000000537    0.0012363112    
100.0000000000    0.0000001573    0.0012490424    
101.0000000000    0.0000000154    0.0012614069    
102.0000000000    -0.0000002480    0.0012742685    
103.0000000000    -0.0000000175    0.0012867248    
104.0000000000    -0.0000000091    0.0012997504    
105.0000000000    -0.0000000004    0.0013119648    
106.0000000000    0.0000003383    0.0013246118    
107.0000000000    0.0000000165    0.0013372650    
108.0000000000    0.0000000606    0.0013500531    
109.0000000000    -0.0000001769    0.0013623632    
110.0000000000    0.0000002429    0.0013751895    
111.0000000000    -0.0000001837    0.0013876636    
112.0000000000    -0.0000001294    0.0014000711    
113.0000000000    -0.0000000892    0.0014129161    
114.0000000000    -0.0000000438    0.0014256028    
115.0000000000    0.0000000694    0.0014379328    
116.0000000000    0.0000000684    0.0014506945    
117.0000000000    0.0000001134    0.0014633010    
118.0000000000    0.0000001692    0.0014758655    
119.0000000000    -0.0000000422    0.0014885678    
120.0000000000    0.0000001547    0.0015010306    
121.0000000000    -0.0000000155    0.0015134929    
122.0000000000    0.0000000522    0.0015262428    
123.0000000000    0.0000001420    0.0015389576    
124.0000000000    -0.0000001510    0.0015514262    
125.0000000000    0.0000002013    0.0015637521    
126.0000000000    -0.0000000220    0.0015767466    
127.0000000000    -0.0000002538    0.0015892192    
128.0000000000    0.0000000451    0.0016017775    
129.0000000000    -0.0000001210    0.0016142518    
130.0000000000    0.0000001201    0.0016269066    
131.0000000000    0.0000000584    0.0016399110    
132.0000000000    0.0000001095    0.0016522714    
133.0000000000    -0.0000000701    0.0016650350    
134.0000000000    -0.0000000671    0.0016774065    
135.0000000000    0.0000003762    0.0016899252    
136.0000000000    -0.0000001349    0.0017026388    
137.0000000000    -0.0000000878    0.0017151169    
138.0000000000    -0.0000000002    0.0017279417    
139.0000000000    0.0000000419    0.0017403105    
140.0000000000    0.0000001258    0.0017529885    
141.0000000000    0.0000001060    0.0017655030    
142.0000000000    0.0000001719    0.0017782209    
143.0000000000    0.0000000001    0.0017907581    
144.0000000000    -0.0000000629    0.0018035611    
145.0000000000    -0.0000000106    0.0018159245    
146.0000000000    0.0000000657    0.0018287819    
147.0000000000    0.0000000874    0.0018410962    
148.0000000000    0.0000000391    0.0018538381    
149.0000000000    0.0000000586    0.0018665237    
150.0000000000    0.0000000733    0.0018789274    
151.0000000000    -0.0000000321    0.0018918185    
152.0000000000    0.0000000548    0.0019041811    
153.0000000000    0.0000000161    0.0019167766    
154.0000000000    -0.0000000276    0.0019290394    
155.0000000000    -0.0000002768    0.0019418973    
156.0000000000    -0.0000000078    0.0019546998    
157.0000000000    0.0000001558    0.0019668926    
158.0000000000    0.0000001257    0.0019793955    
159.0000000000    -0.0000000555    0.0019923608    
160.0000000000    -0.0000000809    0.0020049243    
161.0000000000    -0.0000000371    0.0020174271    
162.0000000000    -0.0000002023    0.0020298185    
163.0000000000    0.0000001857    0.0020427463    
164.0000000000    0.0000001857    0.0020552037    
165.0000000000    0.0000000306    0.0020675101    
166.0000000000    -0.0000000796    0.0020802985    
167.0000000000    -0.0000000709    0.0020929433    
168.0000000000    0.0000001356    0.0021056669    
169.0000000000    -0.0000002165    0.0021182536    
170.0000000000    0.0000001377    0.0021307403    
171.0000000000    0.0000001161    0.0021435023    
172.0000000000    0.0000000121    0.0021558015    
173.0000000000    -0.0000001913    0.0021685757    
174.0000000000    0.0000003140    0.0021810971    
175.0000000000    -0.0000001856    0.0021938573    
176.0000000000    0.0000000152    0.0022063629    
177.0000000000    -0.0000001249    0.0022188159    
178.0000000000    -0.0000004907    0.0022315711    
179.0000000000    -0.0000000401    0.0022439672    
180.0000000000    0.0000001327    0.0022565733    
181.0000000000    0.0000001960    0.0022692993    
182.0000000000    0.0000001678    0.0022819995    
183.0000000000    -0.0000003920    0.0022943031    
184.0000000000    -0.0000001264    0.0023071388    
185.0000000000    -0.0000002175    0.0023196238    
186.0000000000    0.0000001282    0.0023320772    
187.0000000000    -0.0000002070    0.0023450299    
188.0000000000    0.0000000289    0.0023576883    
189.0000000000    -0.0000000566    0.0023702483    
190.0000000000    -0.0000001542    0.0023824578    
191.0000000000    0.0000002105    0.0023952412    
192.0000000000    0.0000000529    0.0024078833    
193.0000000000    0.0000001591    0.0024204346    
194.0000000000    0.0000001481    0.0024330561    
195.0000000000    0.0000000357    0.0024456525    
196.0000000000    -0.0000003845    0.0024584185    
197.0000000000    -0.0000001543    0.0024706450    
198.0000000000    -0.0000000569    0.0024832499    
199.0000000000    0.0000000597    0.0024959248    
200.0000000000    -0.0000001003    0.0025085336    
201.0000000000    0.0000002094    0.0025207779    
202.0000000000    0.0000001314    0.0025338324    
203.0000000000    0.0000001158    0.0025465513    
204.0000000000    0.0000003583    0.0025589020    
205.0000000000    -0.0000001108    0.0025717507    
206.0000000000    0.0000000166    0.0025842015    
207.0000000000    -0.0000000276    0.0025969237    
208.0000000000    -0.0000001849    0.0026094808    
209.0000000000    0.0000000896    0.0026218662    
210.0000000000    0.0000000431    0.0026344947    
211.0000000000    -0.0000000073    0.0026471792    
212.0000000000    -0.0000000184    0.0026599572    
213.0000000000    -0.0000001319    0.0026724178    
214.0000000000    -0.0000000687    0.0026850227    
215.0000000000    -0.0000000795    0.0026975372    
216.0000000000    0.0000001374    0.0027102952    
217.0000000000    -0.0000000838    0.0027228564    
218.0000000000    0.0000000392    0.0027354206    
219.0000000000    0.0000000310    0.0027480528    
220.0000000000    0.0000001331    0.0027605534    
221.0000000000    -0.0000001388    0.0027729166    
222.0000000000    -0.0000000360    0.0027855066    
223.0000000000    -0.0000003539    0.0027983585    
224.0000000000    0.0000000256    0.0028107746    
225.0000000000    0.0000000460    0.0028237687    
226.0000000000    -0.0000001802    0.0028363078    
227.0000000000    -0.0000001951    0.0028489547    
228.0000000000    0.0000000478    0.0028610779    
229.0000000000    0.0000001380    0.0028738386    
230.0000000000    -0.0000000423    0.0028866674    
231.0000000000    0.0000001198    0.0028992922    
232.0000000000    0.0000001435    0.0029118214    
233.0000000000    -0.0000000854    0.0029242902    
234.0000000000    0.0000003256    0.0029370700    
235.0000000000    0.0000000762    0.0029492431    
236.0000000000    0.0000000585    0.0029622314    
237.0000000000    0.0000002162    0.0029747314    
238.0000000000    -0.0000000335    0.0029873373    
239.0000000000    -0.0000000592    0.0029997635    
240.0000000000    -0.0000003145    0.0030124382    
241.0000000000    0.0000000917    0.0030251568    
242.0000000000    0.0000002472    0.0030373222    
243.0000000000    0.0000000522    0.0030500365    
244.0000000000    -0.0000000656    0.0030630137    
245.0000000000    0.0000001022    0.0030754860    
246.0000000000    0.0000001523    0.0030879561    
247.0000000000    0.0000002275    0.0031004685    
248.0000000000    -0.0000000714    0.0031131866    
249.0000000000    0.0000001121    0.0031257694    
250.0000000000    0.0000000437    0.0031383069    
251.0000000000    0.0000001240    0.0031510610    
252.0000000000    -0.0000001278    0.0031636620    
253.0000000000    -0.0000002373    0.0031760135    
254.0000000000    0.0000000192    0.0031887918    
255.0000000000    -0.0000000150    0.0032014269    
256.0000000000    0.0000002043    0.0032139597    
257.0000000000    0.0000001618    0.0032269343    
258.0000000000    -0.0000000576    0.0032390125    
259.0000000000    0.0000001841    0.0032516410    
260.0000000000    0.0000001401    0.0032643477    
261.0000000000    0.0000000204    0.0032770297    
262.0000000000    -0.0000002466    0.0032894019    
263.0000000000    0.0000000738    0.0033017700    
264.0000000000    -0.0000000415    0.0033146231    
265.0000000000    -0.0000001017    0.0033276362    
266.0000000000    0.0000001093    0.0033399562    
267.0000000000    -0.0000001634    0.0033524759    
268.0000000000    -0.0000002292    0.0033650877    
269.0000000000    0.0000002468    0.0033777740    
270.0000000000    -0.0000000605    0.0033902469    
271.0000000000    0.0000000470    0.0034030346    
272.0000000000    -0.0000001207    0.0034153290    
273.0000000000    -0.0000004165    0.0034279136    
274.0000000000    -0.0000002671    0.0034404824    
275.0000000000    0.0000001601    0.0034532018    
276.0000000000    0.0000000699    0.0034657795    
277.0000000000    0.0000003236    0.0034784040    
278.0000000000    -0.0000000102    0.0034911491    
279.0000000000    -0.0000001686    0.0035037561    
280.0000000000    -0.0000000409    0.0035164360    
281.0000000000    0.0000001973    0.0035288037    
282.0000000000    -0.0000002070    0.0035414135    
283.0000000000    0.0000000302    0.0035542511    
284.0000000000    -0.0000001895    0.0035666411    
285.0000000000    0.0000000850    0.0035790338    
286.0000000000    -0.0000000634    0.0035916866    
287.0000000000    -0.0000001107    0.0036043440    
288.0000000000    0.0000001060    0.0036169495    
289.0000000000    -0.0000000657    0.0036297586    
290.0000000000    -0.0000000906    0.0036421401    
291.0000000000    0.0000001057    0.0036547058    
292.0000000000    0.0000000174    0.0036674049    
293.0000000000    -0.0000000932    0.0036797934    
294.0000000000    0.0000001711    0.0036925601    
295.0000000000    -0.0000002278    0.0037053173    
296.0000000000    0.0000000917    0.0037179436    
297.0000000000    -0.0000001981    0.0037303469    
298.0000000000    0.0000000163    0.0037428876    
299.0000000000    0.0000001901    0.0037552476    
