TIME(sec.)  d_Thrust  d_Elevator    d_Rudder    d_Aileron
1.0000000000    0.6374756234    -7.1810315303    0.0002041372    0.0000169585    
2.0000000000    0.6421241061    -7.1575355518    0.0003729877    0.0000276079    
3.0000000000    0.6437798632    -7.1391500735    0.0005252986    0.0000319097    
4.0000000000    0.6450540197    -7.1263500855    0.0006383567    0.0000323994    
5.0000000000    0.6465821295    -7.1177449867    0.0006859346    0.0000327989    
6.0000000000    0.6482706578    -7.1121007317    0.0006638514    0.0000361100    
7.0000000000    0.6498872930    -7.1086416187    0.0005959647    0.0000432536    
8.0000000000    0.6512418501    -7.1068556874    0.0005223154    0.0000528919    
9.0000000000    0.6522000567    -7.1063214804    0.0004789134    0.0000624004    
10.0000000000    0.6525124646    -7.1066483673    0.0004810924    0.0000693696    
11.0000000000    0.6512895484    -7.1074983231    0.0005187968    0.0000728158    
12.0000000000    0.6496223887    -7.1086405476    0.0005649884    0.0000735244    
13.0000000000    0.6479603316    -7.1099186535    0.0005915082    0.0000734545    
14.0000000000    0.6463864606    -7.1112200837    0.0005835671    0.0000746162    
15.0000000000    0.6449455092    -7.1124685962    0.0005457249    0.0000780527    
16.0000000000    0.6436616296    -7.1136177824    0.0004973382    0.0000834302    
17.0000000000    0.6425453931    -7.1146445626    0.0004610207    0.0000893740    
18.0000000000    0.6415993702    -7.1155431089    0.0004507878    0.0000942929    
19.0000000000    0.6408198215    -7.1163194383    0.0004659439    0.0000972175    
20.0000000000    0.6401962475    -7.1169868520    0.0004931480    0.0000982241    
21.0000000000    0.6397130565    -7.1175623664    0.0005146580    0.0000982787    
22.0000000000    0.6393535043    -7.1180640879    0.0005178450    0.0000986465    
23.0000000000    0.6391017463    -7.1185093155    0.0005009989    0.0001002186    
24.0000000000    0.6389412845    -7.1189132169    0.0004729097    0.0001031074    
25.0000000000    0.6388536249    -7.1192880996    0.0004471659    0.0001066839    
26.0000000000    0.6388204771    -7.1196432742    0.0004346852    0.0001099881    
27.0000000000    0.6388261139    -7.1199853121    0.0004384777    0.0001122581    
28.0000000000    0.6388526835    -7.1203184979    0.0004530392    0.0001132966    
29.0000000000    0.6388747086    -7.1206456650    0.0004681398    0.0001135080    
30.0000000000    0.6388907428    -7.1209694414    0.0004745673    0.0001136247    
31.0000000000    0.6389267846    -7.1212922327    0.0004686797    0.0001142991    
